CAR_ID,SYMBOLING,carname,FUELTYPE-,ASPIRATION+,DOORNUMBER+,CARBODY,DRIVEWHEEL+,ENGINELOCATION,WHEELBASE,CARLENGTH,CARWIDTH,CARHEIGHT,CURBWEIGHT,ENGINETYPE,CYLINDERNUMBER,ENGINESIZE,FUELSYSTEM,BORERATIO,STROKE,COMPRESSIONRATIO,HORSEPOWER,PEAKRPM,CITYMPG,HIGHWAYMPG,PRICE+,BRAND,MODEL,POWER_TO_WEIGHT_RATIO,WHEELBASE_SQUARED,CARLENGTH_SQUARED,CARWIDTH_SQUARED,CARHEIGHT_SQUARED,CURBWEIGHT_SQUARED,ENGINESIZE_SQUARED,BORERATIO_SQUARED,STROKE_SQUARED,COMPRESSIONRATIO_SQUARED,HORSEPOWER_SQUARED,PEAKRPM_SQUARED,CITYMPG_SQUARED,HIGHWAYMPG_SQUARED,LOG_ENGINESIZE
13,0,bmw x1,1,0,1,3,2,0,0.406756446,0.223506603,-0.517674237,0.235942156,0.297326838,3,3,0.892917392,5,-0.07312136,-0.209105206,-0.28834891,0.427983628,-1.839183734,-0.646553028,-0.400490413,20970,3,134,0.044649446,10241.44,31258.24,4199.04,2948.49,7344100,26896,10.9561,10.1761,81,14641,18062500,441,784,5.105945474
14,0,bmw x3,1,0,0,3,2,0,0.406756446,0.223506603,-0.517674237,0.235942156,0.403216478,3,3,0.892917392,5,-0.07312136,-0.209105206,-0.28834891,0.427983628,-1.839183734,-0.646553028,-0.400490413,21105,3,135,0.043761302,10241.44,31258.24,4199.04,2948.49,7645225,26896,10.9561,10.1761,81,14641,18062500,441,784,5.105945474
15,1,bmw z4,1,0,0,3,2,0,0.789638586,1.214799413,0.463650109,0.8102882,0.961543669,3,3,0.892917392,5,-0.07312136,-0.209105206,-0.28834891,0.427983628,-1.839183734,-0.799782358,-0.837195385,24565,3,141,0.039607201,10712.25,35721,4475.61,3102.49,9333025,26896,10.9561,10.1761,81,14641,18062500,400,625,5.105945474
16,0,bmw x4,1,0,0,3,2,0,0.789638586,1.214799413,0.463650109,0.8102882,1.29846525,3,3,1.976184481,5,1.074252084,0.430217198,-0.540724994,1.974338804,0.577692327,-1.412699679,-1.273900356,30760,3,136,0.056346749,10712.25,35721,4475.61,3102.49,10432900,43681,13.1044,11.4921,64,33124,29160000,256,484,5.347107531
17,0,bmw x5,1,0,1,3,2,0,0.789638586,1.604816256,0.930947416,-0.010206149,1.587255176,3,3,1.976184481,5,1.074252084,0.430217198,-0.540724994,1.974338804,0.577692327,-1.412699679,-1.273900356,41315,3,137,0.053846154,10712.25,37558.44,4610.41,2883.69,11424400,43681,13.1044,11.4921,64,33124,29160000,256,484,5.347107531
18,0,bmw x3,1,0,0,3,2,0,1.871696809,1.864827485,2.332839338,1.056436505,1.827913448,3,3,1.976184481,5,1.074252084,0.430217198,-0.540724994,1.974338804,0.577692327,-1.565929009,-1.565037004,36880,3,135,0.05192582,12100,38809,5026.81,3169.69,12285025,43681,13.1044,11.4921,64,33124,29160000,225,400,5.347107531
19,2,chevrolet impala,1,0,1,2,1,0,-1.724065901,-2.677243667,-2.62051212,-0.215329736,-2.055348428,2,4,-1.586560611,1,-1.553603223,-0.720563129,-0.162160868,-1.422572567,-0.05279708,3.337409559,3.238717684,5151,5,86,0.032258065,7814.56,19909.21,3636.09,2830.24,2214144,3721,8.4681,9.1809,90.25,2304,26010000,2209,2809,4.127134385
20,1,chevrolet monte carlo,1,0,1,2,1,0,-0.708595876,-1.474691734,-1.078431005,-0.707626346,-1.312195684,3,2,-0.888455154,1,-1.109458665,-0.464834168,-0.136923259,-0.8648707,0.577692327,1.958345587,1.783034445,6295,5,98,0.037353255,8930.25,24304.81,4044.96,2704,3511876,8100,9.1809,9.6721,92.16,4900,29160000,1444,1849,4.510859507
21,0,chevrolet vega 2300,1,0,0,3,1,0,-0.708595876,-1.239056558,-1.078431005,-0.707626346,-1.244811368,3,2,-0.888455154,1,-1.109458665,-0.464834168,-0.136923259,-0.8648707,0.577692327,1.958345587,1.783034445,6575,5,132,0.036668413,8930.25,25217.44,4044.96,2704,3644281,8100,9.1809,9.6721,92.16,4900,29160000,1444,1849,4.510859507
22,1,dodge rampage,1,0,1,2,1,0,-0.841772273,-1.360936822,-0.984971544,-1.199922955,-1.308345152,3,2,-0.888455154,1,-1.331530944,-0.081240725,-0.184874715,-0.91557087,0.787855462,1.805116257,1.491897797,5572,6,112,0.036247335,8779.69,24743.29,4070.44,2580.64,3519376,8100,8.8209,10.4329,88.5481,4624,30250000,1369,1681,4.510859507
23,1,dodge challenger se,1,0,1,2,1,0,-0.841772273,-1.360936822,-0.984971544,-1.199922955,-1.308345152,3,2,-0.888455154,1,-1.331530944,-0.081240725,-0.187398476,-0.91557087,0.787855462,0.885740275,1.055192826,6377,6,43,0.036247335,8779.69,24743.29,4070.44,2580.64,3519376,8100,8.8209,10.4329,88.36,4624,30250000,961,1444,4.510859507
24,1,dodge d200,1,1,1,2,1,0,-0.841772273,-1.360936822,-0.984971544,-1.199922955,-0.823178076,3,2,-0.695874338,5,-1.109458665,0.430217198,-0.641675428,-0.053667985,0.787855462,-0.186865037,-0.109353765,7957,6,66,0.047932331,8779.69,24743.29,4070.44,2580.64,4528384,9604,9.1809,11.4921,57.76,10404,30250000,576,900,4.59511985
25,1,dodge monaco (sw),1,0,0,2,1,0,-0.841772273,-1.360936822,-0.984971544,-1.28197239,-1.13314593,3,2,-0.888455154,1,-1.331530944,-0.081240725,-0.187398476,-0.91557087,0.787855462,0.885740275,1.055192826,6229,6,97,0.034570412,8779.69,24743.29,4070.44,2560.36,3869089,8100,8.8209,10.4329,88.36,4624,30250000,961,1444,4.510859507
26,1,dodge colt hardtop,1,0,0,3,1,0,-0.841772273,-1.360936822,-0.984971544,-1.28197239,-1.090790074,3,2,-0.888455154,1,-1.331530944,-0.081240725,-0.187398476,-0.91557087,0.787855462,0.885740275,1.055192826,6692,6,51,0.034188034,8779.69,24743.29,4070.44,2560.36,3956121,8100,8.8209,10.4329,88.36,4624,30250000,961,1444,4.510859507
27,1,dodge colt (sw),1,0,0,3,1,0,-0.841772273,-1.360936822,-0.984971544,-1.28197239,-1.090790074,3,2,-0.888455154,1,-1.331530944,-0.081240725,-0.187398476,-0.91557087,0.787855462,0.885740275,1.055192826,7609,6,50,0.034188034,8779.69,24743.29,4070.44,2560.36,3956121,8100,8.8209,10.4329,88.36,4624,30250000,961,1444,4.510859507
28,1,dodge coronet custom,1,1,1,3,1,0,-0.841772273,-1.360936822,-0.984971544,-1.28197239,-0.701886307,3,2,-0.695874338,5,-1.109458665,0.430217198,-0.641675428,-0.053667985,0.787855462,-0.186865037,-0.109353765,8558,6,61,0.046554085,8779.69,24743.29,4070.44,2560.36,4800481,9604,9.1809,11.4921,57.76,10404,30250000,576,900,4.59511985
29,-1,dodge dart custom,1,0,0,4,1,0,0.756344487,0.044748884,-0.611133698,2.492301615,-0.039594742,3,2,-0.118131891,1,0.037914779,0.65398004,-0.414536952,-0.408569172,-0.262960216,-0.186865037,-0.109353765,8921,6,67,0.034714004,10670.89,30485.16,4173.16,3576.04,6426225,14884,11.1556,11.9716,72.25,7744,25000000,576,900,4.812184355
30,3,dodge coronet custom (sw),1,1,1,2,1,0,-0.475537182,-0.069006029,0.183271724,-1.44607126,0.491778722,3,2,0.700336576,4,1.00022799,2.060489329,-0.793101079,1.036385664,-0.262960216,-0.953011688,-0.982763709,12964,6,62,0.051583067,9196.81,29998.24,4395.69,2520.04,7901721,24336,12.96,15.21,49,21025,25000000,361,576,5.056245805
31,2,honda civic,1,0,1,2,1,0,-2.023712793,-2.392856386,-0.938241813,-1.199922955,-1.622163539,3,2,-0.84030995,0,-1.553603223,0.494149439,-0.136923259,-1.169071718,-0.683286487,3.64386822,3.384286008,6479,7,44,0.033858727,7499.56,20909.16,4083.21,2580.64,2934369,8464,8.4681,11.6281,92.16,3364,23040000,2401,2916,4.532599493
32,2,honda civic cvcc,1,0,1,2,1,0,-2.023712793,-2.392856386,-0.938241813,-1.199922955,-1.418085324,3,2,-0.84030995,0,-1.553603223,0.494149439,-0.237873693,-0.712770191,1.83867114,0.885740275,1.055192826,6855,7,48,0.041781198,7499.56,20909.16,4083.21,2580.64,3308761,8464,8.4681,11.6281,84.64,5776,36000000,961,1444,4.532599493
33,1,honda civic,1,0,1,2,1,0,-0.841772273,-1.954087437,-0.891512082,-0.461478041,-1.383430533,3,2,-1.153253775,0,-1.553603223,-0.592698648,-0.010735217,-1.118371548,0.787855462,1.958345587,1.637466121,5399,7,44,0.032661949,8779.69,22500,4096,2766.76,3374569,6241,8.4681,9.4249,102.01,3600,30250000,1444,1764,4.382026635
34,1,honda accord cvcc,1,0,1,2,1,0,-0.841772273,-1.954087437,-0.891512082,-0.461478041,-1.185128117,3,2,-0.84030995,0,-1.553603223,0.494149439,-0.237873693,-0.712770191,1.83867114,0.732510945,0.47291953,6529,7,31,0.039175258,8779.69,22500,4096,2766.76,3763600,8464,8.4681,11.6281,84.64,5776,36000000,900,1156,4.532599493
35,1,honda civic cvcc,1,0,1,2,1,0,-0.841772273,-1.954087437,-0.891512082,-0.461478041,-1.154323858,3,2,-0.84030995,0,-1.553603223,0.494149439,-0.237873693,-0.712770191,1.83867114,0.732510945,0.47291953,7129,7,48,0.038854806,8779.69,22500,4096,2766.76,3825936,8464,8.4681,11.6281,84.64,5776,36000000,900,1156,4.532599493
36,0,honda accord lx,1,0,0,3,1,0,-0.375654885,-0.865290417,-0.891512082,0.31799159,-1.050359485,3,2,-0.84030995,0,-1.553603223,0.494149439,-0.237873693,-0.712770191,1.83867114,0.732510945,0.47291953,7295,7,32,0.037810945,9312.25,26699.56,4096,2970.25,4040100,8464,8.4681,11.6281,84.64,5776,36000000,900,1156,4.532599493
37,0,honda civic 1500 gl,1,0,0,4,1,0,-0.375654885,-1.377187523,-0.938241813,1.876930854,-1.023405758,3,2,-0.84030995,0,-1.516591177,0.494149439,-0.237873693,-0.712770191,1.83867114,0.732510945,0.47291953,7295,7,47,0.037549407,9312.25,24680.41,4083.21,3398.89,4096576,8464,8.5264,11.6281,84.64,5776,36000000,900,1156,4.532599493
38,0,honda accord,1,0,1,2,1,0,-0.375654885,-0.53215103,-0.330755314,-0.174305019,-0.615249329,3,2,-0.407003114,0,-0.665314106,1.037573482,-0.28834891,-0.459269342,1.418344869,0.272822954,0.327351206,7895,7,30,0.038461538,9312.25,28056.25,4251.04,2840.89,4999696,12100,9.9225,12.8164,81,7396,33640000,729,1089,4.709530201
39,0,honda civic 1300,1,0,1,2,1,0,-0.375654885,-0.53215103,-0.330755314,-0.174305019,-0.513210222,3,2,-0.407003114,0,-0.665314106,1.037573482,-0.28834891,-0.459269342,1.418344869,0.272822954,0.327351206,9095,7,46,0.037570992,9312.25,28056.25,4251.04,2840.89,5239521,12100,9.9225,12.8164,81,7396,33640000,729,1089,4.709530201
40,0,honda prelude,1,0,0,3,1,0,-0.375654885,0.109751691,-0.330755314,0.153892721,-0.484331229,3,2,-0.407003114,0,-0.665314106,1.037573482,-0.28834891,-0.459269342,1.418344869,0.272822954,0.327351206,8845,7,107,0.037326389,9312.25,30765.16,4251.04,2926.81,5308416,12100,9.9225,12.8164,81,7396,33640000,729,1089,4.709530201
41,0,honda accord,1,0,0,3,1,0,-0.375654885,0.109751691,-1.592458043,0.153892721,-0.353413129,3,2,-0.407003114,0,-0.665314106,1.037573482,-0.28834891,-0.459269342,1.418344869,0.272822954,0.327351206,10295,7,30,0.036256324,9312.25,30765.16,3906.25,2926.81,5626384,12100,9.9225,12.8164,81,7396,33640000,729,1089,4.709530201
42,0,honda civic,1,0,0,3,1,0,-0.375654885,0.109751691,-0.330755314,0.153892721,-0.174363375,3,2,-0.407003114,5,-0.665314106,1.037573482,-0.28834891,-0.079018069,1.418344869,-0.186865037,-0.400490413,12945,7,44,0.040973631,9312.25,30765.16,4251.04,2926.81,6076225,12100,9.9225,12.8164,81,10201,33640000,576,784,4.709530201
43,1,honda civic (auto),1,0,1,3,1,0,-0.375654885,-0.402145416,0.043082532,-1.11787352,-0.505509157,3,2,-0.407003114,1,-0.665314106,1.037573482,-0.263111301,-0.104368154,0.787855462,-0.033635707,0.036214559,10345,7,45,0.04361099,9312.25,28594.81,4356,2601,5257849,12100,9.9225,12.8164,82.81,10000,30250000,625,961,4.709530201
44,0,isuzu MU-X,1,0,0,3,2,0,-0.741889976,-0.272139801,-1.919566159,-0.092255584,-0.420797445,3,2,-0.382930512,1,-0.07312136,-0.081240725,-0.414536952,-0.662070021,-0.683286487,-0.186865037,-0.254922089,6785,8,28,0.033376123,8892.49,29138.49,3819.24,2862.25,5461569,12321,10.9561,10.4329,72.25,6084,23040000,576,841,4.718498871
45,1,isuzu D-Max ,1,0,1,3,1,0,-0.708595876,-1.474691734,-1.078431005,-0.707626346,-1.312195684,3,2,-0.888455154,1,-1.109458665,-0.464834168,-0.136923259,-0.8648707,0.577692327,1.958345587,1.783034445,8916.5,8,26,0.037353255,8930.25,24304.81,4044.96,2704,3511876,8100,9.1809,9.6721,92.16,4900,29160000,1444,1849,4.510859507
46,0,isuzu D-Max V-Cross,1,0,0,3,1,0,-0.708595876,-1.474691734,-1.078431005,-0.707626346,-1.244811368,3,2,-0.888455154,1,-1.109458665,-0.464834168,-0.136923259,-0.8648707,0.577692327,1.958345587,1.783034445,8916.5,8,27,0.036668413,8930.25,24304.81,4044.96,2704,3644281,8100,9.1809,9.6721,92.16,4900,29160000,1444,1849,4.510859507
47,2,isuzu D-Max ,1,0,1,2,2,0,-0.458890133,-0.117758134,-0.330755314,-0.953774651,0.343533227,3,2,-0.190349697,7,0.371023199,-0.081240725,-0.237873693,-0.357869003,-0.262960216,-0.186865037,-0.254922089,11048,8,26,0.0329188,9216,29790.76,4251.04,2641.96,7474756,14161,11.7649,10.4329,84.64,8100,25000000,576,841,4.787491743
48,0,jaguar xj,1,0,0,3,2,0,2.371108296,2.076086608,1.725352839,-0.379428606,2.907987772,0,3,3.155741977,5,1.11126413,2.923574575,-0.515487386,1.822238295,-0.788368055,-1.565929009,-1.710605328,32250,9,139,0.043285785,12769,39840.16,4844.16,2787.84,16532356,66564,13.1769,17.3889,65.61,30976,22562500,225,361,5.556828062
49,0,jaguar xf,1,0,0,3,2,0,2.371108296,2.076086608,1.725352839,-0.379428606,2.907987772,0,3,3.155741977,5,1.11126413,2.923574575,-0.515487386,1.822238295,-0.788368055,-1.565929009,-1.710605328,35550,9,138,0.043285785,12769,39840.16,4844.16,2787.84,16532356,66564,13.1769,17.3889,65.61,30976,22562500,225,361,5.556828062
50,0,jaguar xk,1,0,1,3,2,0,0.539932842,1.434183887,2.192650146,-2.430664479,2.684656896,5,5,4.792678911,5,0.778155711,-1.583648375,0.342591301,4.002345592,-0.262960216,-1.87238767,-2.001741976,36000,9,140,0.066329114,10404,36748.89,4984.36,2284.84,15602500,106276,12.5316,7.6176,132.25,68644,25000000,169,289,5.789960171
51,1,maxda rx3,1,0,1,2,1,0,-0.941654571,-1.214680505,-0.798052621,0.153892721,-1.281391426,3,2,-0.864382552,1,-1.109458665,-0.336969687,-0.28834891,-0.91557087,-0.262960216,0.732510945,0.036214559,5195,10,118,0.035978836,8667.61,25312.81,4121.64,2926.81,3572100,8281,9.1809,9.9225,81,4624,25000000,900,961,4.521788577
52,1,maxda glc deluxe,1,0,1,2,1,0,-0.941654571,-1.214680505,-0.798052621,0.153892721,-1.262138764,3,2,-0.864382552,1,-1.109458665,-0.336969687,-0.28834891,-0.91557087,-0.262960216,0.885740275,1.055192826,6095,10,84,0.035789474,8667.61,25312.81,4121.64,2926.81,3610000,8281,9.1809,9.9225,81,4624,25000000,961,1444,4.521788577
53,1,mazda rx2 coupe,1,0,1,2,1,0,-0.941654571,-1.214680505,-0.798052621,0.153892721,-1.252512433,3,2,-0.864382552,1,-1.109458665,-0.336969687,-0.28834891,-0.91557087,-0.262960216,0.885740275,1.055192826,6795,11,117,0.035695538,8667.61,25312.81,4121.64,2926.81,3629025,8281,9.1809,9.9225,81,4624,25000000,961,1444,4.521788577
54,1,mazda rx-4,1,0,0,3,1,0,-0.941654571,-0.589028486,-0.798052621,0.153892721,-1.175501786,3,2,-0.864382552,1,-1.109458665,-0.336969687,-0.28834891,-0.91557087,-0.262960216,0.885740275,1.055192826,6695,11,115,0.03496144,8667.61,27822.24,4121.64,2926.81,3783025,8281,9.1809,9.9225,81,4624,25000000,961,1444,4.521788577
55,1,mazda glc deluxe,1,0,0,3,1,0,-0.941654571,-0.589028486,-0.798052621,0.153892721,-1.165875455,3,2,-0.864382552,1,-0.924398432,-0.336969687,-0.28834891,-0.91557087,-0.262960216,0.885740275,1.055192826,7395,11,84,0.034871795,8667.61,27822.24,4121.64,2926.81,3802500,8281,9.4864,9.9225,81,4624,25000000,961,1444,4.521788577
56,3,mazda 626,1,0,1,2,2,0,-0.57541948,-0.410270767,-0.09710666,-1.692219565,-0.338011,6,6,-1.369907193,2,0.000902733,-0.001325424,-0.187398476,-0.079018069,1.83867114,-1.259470349,-1.128332032,10945,11,22,0.042436975,9082.09,28561,4316.49,2460.16,5664400,4900,11.0889,10.595025,88.36,10201,36000000,289,529,4.262679877
57,3,mazda glc,1,0,1,2,2,0,-0.57541948,-0.410270767,-0.09710666,-1.692219565,-0.338011,6,6,-1.369907193,2,0.000902733,-0.001325424,-0.187398476,-0.079018069,1.83867114,-1.259470349,-1.128332032,11845,11,80,0.042436975,9082.09,28561,4316.49,2460.16,5664400,4900,11.0889,10.595025,88.36,10201,36000000,289,529,4.262679877
58,3,mazda rx-7 gs,1,0,1,2,2,0,-0.57541948,-0.410270767,-0.09710666,-1.692219565,-0.328384669,6,6,-1.369907193,2,0.000902733,-0.001325424,-0.187398476,-0.079018069,1.83867114,-1.259470349,-1.128332032,13645,11,116,0.042348008,9082.09,28561,4316.49,2460.16,5688225,4900,11.0889,10.595025,88.36,10201,36000000,289,529,4.262679877
59,3,mazda glc 4,1,0,1,2,2,0,-0.57541948,-0.410270767,-0.09710666,-1.692219565,-0.106979059,6,6,-1.129181173,5,0.000902733,-0.001325424,-0.187398476,0.782884816,1.83867114,-1.412699679,-1.128332032,15645,11,81,0.054,9082.09,28561,4316.49,2460.16,6250000,6400,11.0889,10.595025,88.36,18225,36000000,256,529,4.394449155
60,1,mazda 626,1,0,1,2,1,0,0.007227256,0.304760112,0.276731186,-0.010206149,-0.328384669,3,2,-0.118131891,1,0.222975012,0.430217198,-0.389299344,-0.509969512,-0.683286487,0.119593624,0.181782883,8845,11,22,0.035220126,9761.44,31612.84,4422.25,2883.69,5688225,14884,11.4921,11.4921,73.96,7056,23040000,676,1024,4.812184355
61,0,mazda glc custom l,1,0,0,3,1,0,0.007227256,0.304760112,0.276731186,0.728238765,-0.280253014,3,2,-0.118131891,1,0.222975012,0.430217198,-0.389299344,-0.509969512,-0.683286487,0.119593624,0.181782883,8495,11,83,0.034854772,9761.44,31612.84,4422.25,3080.25,5808100,14884,11.4921,11.4921,73.96,7056,23040000,676,1024,4.812184355
62,1,mazda glc custom,1,0,1,2,1,0,0.007227256,0.304760112,0.276731186,-0.010206149,-0.328384669,3,2,-0.118131891,1,0.222975012,0.430217198,-0.389299344,-0.509969512,-0.683286487,0.119593624,0.181782883,10595,11,82,0.035220126,9761.44,31612.84,4422.25,2883.69,5688225,14884,11.4921,11.4921,73.96,7056,23040000,676,1024,4.812184355
63,0,mazda rx-4,1,0,0,3,1,0,0.007227256,0.304760112,0.276731186,0.728238765,-0.280253014,3,2,-0.118131891,1,0.222975012,0.430217198,-0.389299344,-0.509969512,-0.683286487,0.119593624,0.181782883,10245,11,115,0.034854772,9761.44,31612.84,4422.25,3080.25,5808100,14884,11.4921,11.4921,73.96,7056,23040000,676,1024,4.812184355
64,0,mazda glc deluxe,0,0,0,3,1,0,0.007227256,0.304760112,0.276731186,0.728238765,-0.216719231,3,2,-0.118131891,3,0.222975012,0.430217198,3.169203448,-1.016971209,-0.998531191,1.651886926,1.637466121,10795,11,84,0.026197298,9761.44,31612.84,4422.25,3080.25,5968249,14884,11.4921,11.4921,515.29,4096,21622500,1296,1764,4.812184355
65,0,mazda 626,1,0,0,2,1,0,0.007227256,0.304760112,0.276731186,0.728238765,-0.251374022,3,2,-0.118131891,1,0.222975012,0.430217198,-0.389299344,-0.509969512,-0.683286487,0.119593624,0.181782883,11245,11,22,0.034639175,9761.44,31612.84,4422.25,3080.25,5880625,14884,11.4921,11.4921,73.96,7056,23040000,676,1024,4.812184355
66,0,mazda glc,1,0,0,3,2,0,1.02269728,0.077250287,0.089812263,0.276966873,0.220316191,3,2,0.315174945,5,1.592420736,-0.305003567,-0.540724994,0.402633543,-0.262960216,-0.953011688,-0.546058737,18280,11,80,0.04494382,11004.01,30625,4369.21,2959.36,7128900,19600,14.1376,9.9856,64,14400,25000000,361,729,4.94875989
67,0,mazda rx-7 gs,0,0,0,3,2,0,1.02269728,0.077250287,0.089812263,0.276966873,0.278074177,3,2,0.170739333,3,0.371023199,1.229370204,2.992540189,-0.81417053,-1.944265301,0.885740275,1.20076115,18344,11,116,0.026666667,11004.01,30625,4369.21,2959.36,7290000,17956,11.7649,13.2496,484,5184,17640000,961,1521,4.905274778
68,-1,buick electra 225 custom,0,1,0,3,2,0,1.871696809,1.36918108,2.052460954,1.138485939,1.84716611,3,1,1.35029683,3,0.926203897,1.229370204,2.866352147,0.478683797,-1.629020598,-0.493323697,-0.837195385,25552,4,73,0.034992888,12100,36442.81,4942.09,3192.25,12355225,33489,12.8164,13.2496,462.25,15129,18922500,484,625,5.214935758
69,-1,buick century luxus (sw),0,1,0,4,2,0,1.871696809,1.36918108,2.052460954,2.041029723,2.299603661,3,1,1.35029683,3,0.926203897,1.229370204,2.866352147,0.478683797,-1.629020598,-0.493323697,-0.837195385,28248,4,41,0.0328,12100,36442.81,4942.09,3445.69,14062500,33489,12.8164,13.2496,462.25,15129,18922500,484,625,5.214935758
70,0,buick century,0,1,1,1,2,0,1.322344173,1.09291915,2.052460954,0.48209046,1.808660786,3,1,1.35029683,3,0.926203897,1.229370204,2.866352147,0.478683797,-1.629020598,-0.493323697,-0.837195385,28176,4,40,0.035193133,11384.89,35156.25,4942.09,3014.01,12215025,33489,12.8164,13.2496,462.25,15129,18922500,484,625,5.214935758
