name,Buy-,Sell+,color 1,color 2,size,Miles_Price,source,seasonal_Availability,mannequin_Piece,style,type,villager_Equippable,catalog,filename,unique_Entry_ID
Aran-knit sweater,1200,300,Gray,Gray,1,640,Able Sisters,Winter,No,Simple,Yes,For sale,TopsTexTopOuterLAran2,7673,GDMzeQoGkah87ocD7
Aran-knit sweater,1200,300,Green,Green,1,640,Able Sisters,Winter,No,Simple,Yes,For sale,TopsTexTopOuterLAran3,7674,twRmAecxYcKDTriJu
Aran-knit sweater,1200,300,Black,Black,1,640,Able Sisters,Winter,No,Simple,Yes,For sale,TopsTexTopOuterLAran4,7675,nDgu8apAqxvPpaYaa
Aran-knit sweater,1200,300,Orange,Orange,1,640,Able Sisters,Winter,No,Simple,Yes,For sale,TopsTexTopOuterLAran5,7676,yWjKAXMSpvrdPQ96S
Aran-knit sweater,1200,300,Blue,Blue,1,640,Able Sisters,Winter,No,Simple,Yes,For sale,TopsTexTopOuterLAran6,7677,csp3scivRcpNKguZd
argyle sweater,1200,300,Green,Red,1,640,Able Sisters,Winter,No,Simple,Yes,For sale,TopsTexTopOuterLArgyle0,3579,xEqYEzdaBXvj9s346
argyle sweater,1200,300,Gray,Purple,1,640,Able Sisters,Winter,No,Simple,Yes,For sale,TopsTexTopOuterLArgyle1,7742,asRCNMsvrCGPew8ao
argyle sweater,1200,300,Yellow,White,1,640,Able Sisters,Winter,No,Simple,Yes,For sale,TopsTexTopOuterLArgyle2,7743,YnhhYiacfsWJcPCpe
argyle sweater,1200,300,Black,Blue,1,640,Able Sisters,Winter,No,Simple,Yes,For sale,TopsTexTopOuterLArgyle3,7744,5nftKFQRatJC7xgjB
argyle sweater,1200,300,Red,Gray,1,640,Able Sisters,Winter,No,Simple,Yes,For sale,TopsTexTopOuterLArgyle4,7745,nRyNWtuy5uhdJWfQg
argyle sweater,1200,300,Purple,White,1,640,Able Sisters,Winter,No,Simple,Yes,For sale,TopsTexTopOuterLArgyle5,7746,f5YsDGb6KcjJHHDvj
argyle sweater,1200,300,Pink,Orange,1,640,Able Sisters,Winter,No,Simple,Yes,For sale,TopsTexTopOuterLArgyle6,7747,wcs4qoRrafHXt9EKj
argyle sweater,1200,300,White,Green,1,640,Able Sisters,Winter,Yes,Simple,Yes,For sale,TopsTexTopOuterLArgyle7,7748,22jF8CGD8WXrECzwD
argyle vest,1440,360,Blue,Light blue,1,640,Able Sisters,All Year,No,Simple,Yes,For sale,TopsTexTopYshirtsLArgyle0,3262,QfjxZgK6b3zp2hr7T
argyle vest,1440,360,Pink,White,1,640,Able Sisters,All Year,No,Simple,Yes,For sale,TopsTexTopYshirtsLArgyle1,8480,3gRjPwykkZqE2f3tp
argyle vest,1440,360,Brown,White,1,640,Able Sisters,All Year,No,Simple,Yes,For sale,TopsTexTopYshirtsLArgyle2,8481,o9fJxQLHiEstT9dtt
argyle vest,1440,360,Red,White,1,640,Able Sisters,All Year,No,Simple,Yes,For sale,TopsTexTopYshirtsLArgyle3,8482,SMfqtZmDWDAZPEGvM
argyle vest,1440,360,Gray,White,1,640,Able Sisters,All Year,No,Simple,Yes,For sale,TopsTexTopYshirtsLArgyle4,8483,akqeXj6PYe8Bj4aYY
argyle vest,1440,360,Green,White,1,640,Able Sisters,All Year,No,Simple,Yes,For sale,TopsTexTopYshirtsLArgyle5,8484,LsiMSCR4tDsnLMF7K
athletic jacket,960,240,Red,White,1,640,Able Sisters,All Year,No,Active,Yes,For sale,TopsTexTopOuterLJersey0,3244,zgcZP2SW38SpysHJA
athletic jacket,960,240,Green,White,1,640,Able Sisters,All Year,No,Active,Yes,For sale,TopsTexTopOuterLJersey1,7198,PzvRHyyS9mQYtTFgw
athletic jacket,960,240,Black,White,1,640,Able Sisters,All Year,No,Active,Yes,For sale,TopsTexTopOuterLJersey2,7199,QhC4BYigzMiswiDSn
athletic jacket,960,240,Blue,White,1,640,Able Sisters,All Year,No,Active,Yes,For sale,TopsTexTopOuterLJersey3,7200,3zz3YpwYWcYJifHkC
athletic jacket,960,240,Red,White,1,640,Able Sisters,All Year,No,Active,Yes,For sale,TopsTexTopOuterLJersey4,7201,YfNJuXFSjQuTwuETC
athletic jacket,960,240,Blue,White,1,640,Able Sisters,All Year,No,Active,Yes,For sale,TopsTexTopOuterLJersey5,7202,ZYQDPwif9z8YR4Wpr
baggy shirt,1348.395967,10,Gray,Gray,1,640,Recycle bin,All Year,No,Simple,Yes,Not for sale,TopsTexTopTshirtsLLoose0,4710,LCtayENx9EyLYa4Za
baggy shirt,1348.395967,10,Black,Black,1,640,Recycle bin,All Year,No,Simple,Yes,Not for sale,TopsTexTopTshirtsLLoose1,8554,7ffsMJC98YG5kro2L
baggy shirt,1348.395967,10,Brown,Brown,1,640,Recycle bin,All Year,No,Simple,Yes,Not for sale,TopsTexTopTshirtsLLoose2,8555,zKcqFuTkyBr7coxfb
baseball shirt,1120,280,Blue,White,1,640,Able Sisters,All Year,No,Active,Yes,For sale,TopsTexTopTshirtsHBaseball0,4419,vYCgqwhsoMRcDJfF3
baseball shirt,1120,280,Red,Black,1,640,Able Sisters,All Year,No,Active,Yes,For sale,TopsTexTopTshirtsHBaseball1,9393,kA8dp8bAq7K4sFtCm
baseball shirt,1120,280,Gray,Blue,1,640,Able Sisters,All Year,No,Active,Yes,For sale,TopsTexTopTshirtsHBaseball2,9394,fqjd2QBaMZMbwDEhL
baseball shirt,1120,280,Black,White,1,640,Able Sisters,All Year,No,Active,Yes,For sale,TopsTexTopTshirtsHBaseball3,9395,htYo33ejttt75X4mk
baseball shirt,1120,280,White,Red,1,640,Able Sisters,All Year,No,Active,Yes,For sale,TopsTexTopTshirtsHBaseball4,9396,hSnStWauqiSxbZNXX
baseball shirt,1120,280,Yellow,Black,1,640,Able Sisters,All Year,No,Active,Yes,For sale,TopsTexTopTshirtsHBaseball5,9397,r5Xs4qK8wvp6fymea
basketball tank,1120,280,Purple,Yellow,1,640,Able Sisters,All Year,No,Active,Yes,For sale,TopsTexTopTshirtsNBasketballshirts0,2727,dKYrtNZerQWq6Gt7W
basketball tank,1120,280,Red,Black,1,640,Able Sisters,All Year,No,Active,Yes,For sale,TopsTexTopTshirtsNBasketballshirts1,8038,uoMWejnjaZ6AyHNQt
basketball tank,1120,280,Green,Orange,1,640,Able Sisters,All Year,No,Active,Yes,For sale,TopsTexTopTshirtsNBasketballshirts2,8039,k2LnL52SusAtRrHmq
basketball tank,1120,280,Orange,Blue,1,640,Able Sisters,All Year,No,Active,Yes,For sale,TopsTexTopTshirtsNBasketballshirts3,8040,vvNhYDS8JMeaS6ixD
basketball tank,1120,280,Blue,Red,1,640,Able Sisters,All Year,No,Active,Yes,For sale,TopsTexTopTshirtsNBasketballshirts4,8041,cParkHGdWthejc4wo
basketball tank,1120,280,Yellow,Green,1,640,Able Sisters,All Year,No,Active,Yes,For sale,TopsTexTopTshirtsNBasketballshirts5,8042,Qp3ibpyH77Cue45i3
basketball tank,1120,280,Light blue,Blue,1,640,Able Sisters,All Year,No,Active,Yes,For sale,TopsTexTopTshirtsNBasketballshirts6,8043,3Zq39RDqBexmDhnbQ
basketball tank,1120,280,Black,Red,1,640,Able Sisters,All Year,No,Active,Yes,For sale,TopsTexTopTshirtsNBasketballshirts7,8044,9x9KAwjxXjS5iLkEM
bear tee,800,200,Green,Brown,1,640,Nook Shopping Catalog,All Year,No,Active,Yes,For sale,TopsTexTopTshirtsHBear0,8196,6smBqDtdwrcsSvnSD
big-star tee,560,140,Blue,Yellow,1,640,Nook Shopping Catalog,All Year,No,Simple,Yes,For sale,TopsTexTopTshirtsHStar0,6822,JpATLjagWyw8q8zqx
biker jacket,1750,437,Black,Black,1,640,Able Sisters,All Year,Yes,Cool,Yes,For sale,TopsTexTopYshirtsLRiders0,3198,evbChpmd6EcLcM3Tz
biker jacket,1750,437,Brown,Brown,1,640,Able Sisters,All Year,No,Cool,Yes,For sale,TopsTexTopYshirtsLRiders1,8559,hWrrNDEHNvMb7frrA
biker jacket,1750,437,Beige,Beige,1,640,Able Sisters,All Year,No,Cool,Yes,For sale,TopsTexTopYshirtsLRiders2,8560,ha4hWKpn4CiAXqN3C
biker jacket,1750,437,Red,Red,1,640,Able Sisters,All Year,No,Cool,Yes,For sale,TopsTexTopYshirtsLRiders3,8561,4PQfMkGAWJbGRABFb
biker jacket,1750,437,Blue,Blue,1,640,Able Sisters,All Year,No,Cool,Yes,For sale,TopsTexTopYshirtsLRiders4,8562,B2zPcdArK6waMjoBz
biker jacket,1750,437,Yellow,Yellow,1,640,Able Sisters,All Year,No,Cool,Yes,For sale,TopsTexTopYshirtsLRiders5,8563,ccT7cJJhSKR8XfXdL
blossom tee,800,200,Pink,White,1,640,Able Sisters,Summer,No,Cute,Yes,For sale,TopsTexTopTshirtsHFlower0,8205,M7qCnBYqNGLyLSskf
blossom tee,800,200,Light blue,White,1,640,Able Sisters,Summer,No,Cute,Yes,For sale,TopsTexTopTshirtsHFlower1,12099,cskAiddHb4wcR4Rny
blossom tee,800,200,Yellow,White,1,640,Able Sisters,Summer,No,Cute,Yes,For sale,TopsTexTopTshirtsHFlower2,12100,PSC7XZs443Ew5Ntdx
blossom tee,800,200,Green,White,1,640,Able Sisters,Summer,No,Cute,Yes,For sale,TopsTexTopTshirtsHFlower3,12101,97cQhCcwgx4Cf2RLS
blossom tee,800,200,Purple,White,1,640,Able Sisters,Summer,No,Cute,Yes,For sale,TopsTexTopTshirtsHFlower4,12102,A6TyYLhfoDitFeCiR
boa blouson,1680,420,Purple,White,1,640,Able Sisters,Winter,Yes,Cute,Yes,For sale,TopsTexTopOuterLBlouson0,4598,tsxSZ2Dy6kYf8hsyR
boa blouson,1680,420,Beige,White,1,640,Able Sisters,Winter,No,Cute,Yes,For sale,TopsTexTopOuterLBlouson1,8005,NgsGbsW8Wn8K6DT7Y
boa blouson,1680,420,Blue,White,1,640,Able Sisters,Winter,No,Cute,Yes,For sale,TopsTexTopOuterLBlouson2,8006,PvqQmZ5RhnjBgA4dF
boa blouson,1680,420,White,White,1,640,Able Sisters,Winter,No,Cute,Yes,For sale,TopsTexTopOuterLBlouson3,8007,XzXMD6y9mn5dJY7ZR
boa fleece,1400,350,White,Blue,1,640,Able Sisters,Winter,No,Active,Yes,For sale,TopsTexTopYshirtsLFleece0,3705,ajrhqED9o9KJD82qY
boa fleece,1400,350,Green,Black,1,640,Able Sisters,Winter,No,Active,Yes,For sale,TopsTexTopYshirtsLFleece1,8315,onYuhrcTdxzzQnsXi
boa fleece,1400,350,Blue,Black,1,640,Able Sisters,Winter,No,Active,Yes,For sale,TopsTexTopYshirtsLFleece2,8316,pbSceZdarEEYbe36G
boa fleece,1400,350,Beige,Orange,1,640,Able Sisters,Winter,No,Active,Yes,For sale,TopsTexTopYshirtsLFleece3,8317,yQ2sLqk5QgqDkL9MM
boa fleece,1400,350,Blue,Black,1,640,Able Sisters,Winter,No,Active,Yes,For sale,TopsTexTopYshirtsLFleece4,8318,kr3zQJ5ACzjygZxXN
boa fleece,1400,350,Pink,Blue,1,640,Able Sisters,Winter,No,Active,Yes,For sale,TopsTexTopYshirtsLFleece5,8319,hWRdrnxHy4m7xM8wp
boa fleece,1400,350,Yellow,Blue,1,640,Able Sisters,Winter,No,Active,Yes,For sale,TopsTexTopYshirtsLFleece6,8320,GDpeQZw9dsqrZoioH
boa fleece,1400,350,Green,Green,1,640,Able Sisters,Winter,No,Active,Yes,For sale,TopsTexTopYshirtsLFleece7,8321,K24sHEbxDRcEvuJhZ
bold aloha shirt,960,240,Blue,Red,1,640,Able Sisters,Summer,No,Active,Yes,For sale,TopsTexTopYshirtsHPolynesia0,8206,KuY6kA7WnY24gjmhF
bold aloha shirt,960,240,Pink,Light blue,1,640,Able Sisters,Summer,No,Active,Yes,For sale,TopsTexTopYshirtsHPolynesia1,12098,t6XA6gv2RhEy2CWZ5
bomber-style jacket,1440,360,Green,Green,1,640,Able Sisters,All Year,Yes,Cool,Yes,For sale,TopsTexTopOuterLMaone0,4401,vih97zG2HgN8cg54w
bomber-style jacket,1440,360,Black,Black,1,640,Able Sisters,All Year,No,Cool,Yes,For sale,TopsTexTopOuterLMaone1,8566,MW8k9p5yzJLtCr57p
bomber-style jacket,1440,360,Blue,Blue,1,640,Able Sisters,All Year,No,Cool,Yes,For sale,TopsTexTopOuterLMaone2,8567,TYuRohPqb6aJEw2eu
bomber-style jacket,1440,360,Brown,Brown,1,640,Able Sisters,All Year,No,Cool,Yes,For sale,TopsTexTopOuterLMaone3,8568,c43Dyv4hPewtXPXtL
bone tee,640,160,Yellow,White,1,640,Able Sisters,Summer,No,Simple,Yes,For sale,TopsTexTopTshirtsHMeat0,8200,MtsJHoZtAniizhXzb
bonjour tee,640,160,White,Red,1,640,Nook Shopping Catalog,All Year,No,Simple,Yes,For sale,TopsTexTopTshirtsHHellofr0,12115,2eprjJTFoSP9v8fem
botanical tee,800,200,Black,Red,1,640,Able Sisters,Summer,Yes,Cool,Yes,For sale,TopsTexTopTshirtsHBotanical0,9831,oMALunHDp3gEEuwXv
botanical tee,800,200,White,Red,1,640,Able Sisters,Summer,No,Cool,Yes,For sale,TopsTexTopTshirtsHBotanical1,11956,sRLnWmuoFqDQXw7L8
bowling shirt,1260,315,Red,Black,1,640,Able Sisters,Summer,Yes,Cool,Yes,For sale,TopsTexTopYshirtsHBowling0,3698,nqr3XGTNmtobMKMch
bowling shirt,1260,315,Blue,Black,1,640,Able Sisters,Summer,No,Cool,Yes,For sale,TopsTexTopYshirtsHBowling1,9437,tHec3uk7yi9pX3w76
bowling shirt,1260,315,Yellow,Black,1,640,Able Sisters,Summer,No,Cool,Yes,For sale,TopsTexTopYshirtsHBowling2,9438,jWPmrHsMmXecGwYHn
bowling shirt,1260,315,Orange,Black,1,640,Able Sisters,Summer,No,Cool,Yes,For sale,TopsTexTopYshirtsHBowling3,9439,5SrN3MemLC3WYSzid
bowling shirt,1260,315,Beige,Black,1,640,Able Sisters,Summer,No,Cool,Yes,For sale,TopsTexTopYshirtsHBowling4,9440,mJoxyDuWCsLYrgezX
bowling shirt,1260,315,Green,Black,1,640,Able Sisters,Summer,No,Cool,Yes,For sale,TopsTexTopYshirtsHBowling5,9441,Br7ALnLdbDirrygcG
bowling shirt,1260,315,Light blue,Black,1,640,Able Sisters,Summer,No,Cool,Yes,For sale,TopsTexTopYshirtsHBowling6,9442,NN3x44G3BGprvKEfv
bowling shirt,1260,315,Purple,Black,1,640,Able Sisters,Summer,No,Cool,Yes,For sale,TopsTexTopYshirtsHBowling7,9443,TwSnqcb7TtumRZLvW
bug aloha shirt,1348.395967,240,Black,Red,1,640,Bug-Off,All Year,No,Cool,Yes,Not for sale,TopsTexTopYshirtsHInsect0,8764,2QNcM4zFTsb93fzeP
bulldog jacket,1440,360,Black,White,1,640,Able Sisters,All Year,No,Cool,Yes,For sale,TopsTexTopOuterLBulldog0,5980,ggs2xnxP45Y8SPtKL
bulldog jacket,1440,360,White,Black,1,640,Able Sisters,All Year,No,Cool,Yes,For sale,TopsTexTopOuterLBulldog1,7998,rqwFuaTF75ANzTN9p
bulldog jacket,1440,360,Red,Black,1,640,Able Sisters,All Year,No,Cool,Yes,For sale,TopsTexTopOuterLBulldog2,7999,gHnTWFxB9PSGHcTes
business suitcoat,1960,490,Black,Blue,1,640,Able Sisters,All Year,No,Cool,Yes,For sale,TopsTexTopYshirtsLSuits0,4363,LzQ8TynJGkTh4xXQa
business suitcoat,1960,490,Gray,Pink,1,640,Able Sisters,All Year,No,Cool,Yes,For sale,TopsTexTopYshirtsLSuits1,8279,jEGfEYEFh4arugxGp
business suitcoat,1960,490,Light blue,Light blue,1,640,Able Sisters,All Year,No,Cool,Yes,For sale,TopsTexTopYshirtsLSuits2,8280,AtaXqZdJkYv3icPLf
business suitcoat,1960,490,Red,Red,1,640,Able Sisters,All Year,No,Cool,Yes,For sale,TopsTexTopYshirtsLSuits3,8281,8GPBwYBSaiSoNSFFz
business suitcoat,1960,490,Blue,Red,1,640,Able Sisters,All Year,No,Cool,Yes,For sale,TopsTexTopYshirtsLSuits4,8282,rHnShnLknTj3MXrt4
café uniform,1500,375,Black,White,1,640,Able Sisters,All Year,No,Elegant,Yes,For sale,TopsTexTopCoatLCafe0,3178,SHHiYrQ9ozi4X7iqW
café uniform,1500,375,Green,White,1,640,Able Sisters,All Year,No,Elegant,Yes,For sale,TopsTexTopCoatLCafe1,8263,ARXYKEMCHdcJHJpa4
café uniform,1500,375,Red,White,1,640,Able Sisters,All Year,No,Elegant,Yes,For sale,TopsTexTopCoatLCafe2,8264,cdC7EDHRJLqLQHGaB
café uniform,1500,375,Brown,White,1,640,Able Sisters,All Year,No,Elegant,Yes,For sale,TopsTexTopCoatLCafe3,8265,YFyQbDMayMoZSWYcY
camo bomber-style jacket,1400,350,Green,Beige,1,640,Able Sisters,All Year,No,Cool,Yes,For sale,TopsTexTopOuterLCamo0,4402,WGTwz7iBBHyb8KL72
camo bomber-style jacket,1400,350,Gray,Black,1,640,Able Sisters,All Year,No,Cool,Yes,For sale,TopsTexTopOuterLCamo1,8569,Nf7G3cxhFCTXcPhbK
camo bomber-style jacket,1400,350,Purple,Green,1,640,Able Sisters,All Year,No,Cool,Yes,For sale,TopsTexTopOuterLCamo2,8570,ezCm27aWs5kKsuygM
camo tee,960,240,Brown,Beige,1,640,Able Sisters,Summer,No,Cool,Yes,For sale,TopsTexTopTshirtsHCamouflage0,3257,NhrcCLHZ99zfZ5QPr
camo tee,960,240,Green,Beige,1,640,Able Sisters,Summer,No,Cool,Yes,For sale,TopsTexTopTshirtsHCamouflage1,8420,8tpoRwR3apwZz4fRx
camo tee,960,240,Pink,Brown,1,640,Able Sisters,Summer,No,Cool,Yes,For sale,TopsTexTopTshirtsHCamouflage2,8421,7XJR7YLns7pJpspdC
camo tee,960,240,Gray,Black,1,640,Able Sisters,Summer,No,Cool,Yes,For sale,TopsTexTopTshirtsHCamouflage3,8422,4jbAfkCimtnAhAMJx
camo tee,960,240,Blue,Blue,1,640,Able Sisters,Summer,No,Cool,Yes,For sale,TopsTexTopTshirtsHCamouflage4,8423,2cmGY9qZsk5XW5epR
camo tee,960,240,Purple,Purple,1,640,Able Sisters,Summer,No,Cool,Yes,For sale,TopsTexTopTshirtsHCamouflage5,12352,9j5rKFarxYrxLwDQu
camo tee,960,240,Red,Beige,1,640,Able Sisters,Summer,No,Cool,Yes,For sale,TopsTexTopTshirtsHCamouflage6,12353,9dyYcxDgoA4Z7zddJ
camper tee,840,210,Green,Green,1,640,Nook Shopping Promotion,All Year,No,Simple,Yes,Not in catalog,TopsTexTopTshirtsHOkmotors0,12426,WiN73dy22JaKPfnmp
cardigan-shirt combo,840,210,Yellow,White,1,640,Able Sisters,All Year,No,Simple,Yes,For sale,TopsTexTopYshirtsLCardiganyshirt0,3578,i7Ho5GcyLKTM2XHrS
cardigan-shirt combo,840,210,Green,White,1,640,Able Sisters,All Year,No,Simple,Yes,For sale,TopsTexTopYshirtsLCardiganyshirt1,8015,okf7tHGJSJWo99MuP
cardigan-shirt combo,840,210,Pink,White,1,640,Able Sisters,All Year,No,Simple,Yes,For sale,TopsTexTopYshirtsLCardiganyshirt2,8016,QFeGQLKdWddDQbDux
cardigan-shirt combo,840,210,Blue,White,1,640,Able Sisters,All Year,No,Simple,Yes,For sale,TopsTexTopYshirtsLCardiganyshirt3,8017,rRQcDfsDwrv2CpGyD
cardigan-shirt combo,840,210,Gray,White,1,640,Able Sisters,All Year,No,Simple,Yes,For sale,TopsTexTopYshirtsLCardiganyshirt4,8018,rT6w9DHb3ohP2HWzJ
cardigan-shirt combo,840,210,Black,White,1,640,Able Sisters,All Year,No,Simple,Yes,For sale,TopsTexTopYshirtsLCardiganyshirt5,8019,ysMCoRxo5iPdTgvz3
career jacket,1680,420,Gray,White,1,640,Able Sisters,All Year,No,Simple,Yes,For sale,TopsTexTopYshirtsLCareer0,4503,XoNL6nqajp9KnbpHq
career jacket,1680,420,Beige,White,1,640,Able Sisters,All Year,No,Simple,Yes,For sale,TopsTexTopYshirtsLCareer1,7383,3XiTwcXtTRfkDtf6e
career jacket,1680,420,Pink,White,1,640,Able Sisters,All Year,No,Simple,Yes,For sale,TopsTexTopYshirtsLCareer2,7384,6zTTfSRG52X45dHaM
career jacket,1680,420,Light blue,White,1,640,Able Sisters,All Year,No,Simple,Yes,For sale,TopsTexTopYshirtsLCareer3,7385,EgvjuzBWSs8HsNAmL
career jacket,1680,420,Pink,Black,1,640,Able Sisters,All Year,No,Simple,Yes,For sale,TopsTexTopYshirtsLCareer4,7386,aC6JGCTRxPEEYwXGw
career jacket,1680,420,Green,Black,1,640,Able Sisters,All Year,No,Simple,Yes,For sale,TopsTexTopYshirtsLCareer5,7387,44A7k8CfYyhN2aGms
career jacket,1680,420,Blue,Black,1,640,Able Sisters,All Year,No,Simple,Yes,For sale,TopsTexTopYshirtsLCareer6,7388,eQdzHHXEcDK25KRdw
career jacket,1680,420,Red,Black,1,640,Able Sisters,All Year,No,Simple,Yes,For sale,TopsTexTopYshirtsLCareer7,7389,iSRqf8wvm5T4kcKKu
cavalier shirt,2080,520,Blue,Yellow,1,640,Able Sisters,All Year,No,Elegant,Yes,For sale,TopsTexTopCoatLGunknight0,3233,nBndstHR8fhG5snhk
cavalier shirt,2080,520,Red,Yellow,1,640,Able Sisters,All Year,No,Elegant,Yes,For sale,TopsTexTopCoatLGunknight1,8229,fQpwGgZGNjkBSfZG9
cavalier shirt,2080,520,Green,Yellow,1,640,Able Sisters,All Year,No,Elegant,Yes,For sale,TopsTexTopCoatLGunknight2,8230,sMmfufcdocusmGzCM
checkered chesterfield coat,2380,595,Brown,Beige,1,640,Able Sisters,Winter,No,Elegant,Yes,For sale,TopsTexTopCoatLChestercheck0,3941,pFahPHqPSeL2Mza8c
