num,Rank,Name,OVR,PAC,SHO,PAS,DRI,DEF,PHY,Acceleration,Sprint Speed,Positioning,Finishing,Shot Power,Long Shots,Volleys,Penalties+,Vision,Crossing,Free Kick Accuracy,Short Passing,Long Passing,Curve,Dribbling,Agility,Balance,Reactions,Ball Control,Composure,Interceptions,Heading Accuracy,Def Awareness,Standing Tackle,Sliding Tackle,Jumping,Stamina,Strength+,Aggression,Position,Weak foot,Skill moves,Preferred foot,Height,Weight,Alternative positions,Age,Nation,League,Team,play style,url,GK Diving,GK Handling,GK Kicking,GK Positioning,GK Reflexes
13,21,0,89,86,85,89,91,47,86,45,50,11,14,67,10,14,25,70,18,12,61,63,18,21,39,43,85,30,70,22,11,25,13,10,72,35,78,43,0,4,1,0,0,0,0,32,0,0,0,0,0,86,85,89,86,91
14,22,0,89,89,87,82,88,45,75,89,89,92,90,82,84,83,81,85,80,69,86,77,84,88,89,91,93,86,88,55,59,38,43,41,79,87,73,63,0,3,4,0,0,0,0,32,0,0,0,0,0,65.88294147,63.91445723,63.02151076,64.3931966,66.74537269
15,23,0,88,86,86,85,90,57,63,89,83,85,88,89,89,59,64,86,80,74,88,84,88,90,92,92,85,91,86,59,47,60,59,47,66,83,53,64,0,3,4,0,0,0,0,24,0,0,0,0,0,65.88294147,63.91445723,63.02151076,64.3931966,66.74537269
16,25,0,88,79,85,87,92,33,64,86,73,89,85,83,87,86,75,90,80,92,87,86,93,93,90,95,85,93,94,40,60,20,35,24,71,70,68,44,0,4,4,0,0,0,0,37,0,0,0,0,0,65.88294147,63.91445723,63.02151076,64.3931966,66.74537269
17,28,0,88,80,88,87,89,59,75,81,80,90,90,85,87,86,79,88,82,85,89,86,89,88,89,84,90,91,89,59,85,45,63,64,85,86,69,74,0,3,4,0,0,0,0,33,0,0,0,0,0,65.88294147,63.91445723,63.02151076,64.3931966,66.74537269
18,29,0,88,67,39,70,69,89,87,65,68,39,29,74,26,32,45,64,54,48,85,81,46,64,62,56,89,75,86,87,87,90,90,87,88,78,90,88,0,4,2,0,0,0,0,27,0,0,0,0,0,65.88294147,63.91445723,63.02151076,64.3931966,66.74537269
19,30,0,88,75,88,79,86,44,84,76,75,90,90,89,82,86,90,81,76,84,84,70,79,85,77,83,89,90,87,49,88,35,42,19,92,76,89,81,0,4,4,0,0,0,0,36,0,0,0,0,0,65.88294147,63.91445723,63.02151076,64.3931966,66.74537269
20,32,0,88,88,82,84,84,80,84,84,91,86,78,91,87,74,59,86,78,69,87,88,74,83,77,68,89,88,84,83,63,79,85,80,83,92,82,81,0,4,3,0,0,0,0,26,0,0,0,0,0,65.88294147,63.91445723,63.02151076,64.3931966,66.74537269
21,33,0,88,87,82,91,87,64,86,64,63,20,14,68,18,18,65,70,20,20,65,68,39,30,60,48,88,45,70,27,14,29,15,8,79,44,78,38,0,3,1,0,0,0,0,31,0,0,0,0,0,87,82,91,86,87
22,34,0,88,75,78,86,92,71,69,83,69,85,78,79,79,78,64,87,84,67,91,82,84,93,95,92,89,92,89,73,54,70,76,68,68,93,54,78,0,3,4,0,0,0,0,30,0,0,0,0,0,65.88294147,63.91445723,63.02151076,64.3931966,66.74537269
23,38,0,88,85,90,78,87,46,86,42,53,11,11,59,12,13,11,67,13,14,43,40,13,12,64,48,85,30,68,24,15,27,14,18,72,42,78,36,0,3,1,0,0,0,0,31,0,0,0,0,0,85,90,78,86,87
24,40,0,88,82,55,73,70,86,86,71,91,54,40,84,67,34,40,61,68,56,84,81,50,69,56,50,86,74,80,85,83,86,88,87,89,70,91,92,0,3,2,0,0,0,0,31,0,0,0,0,0,65.88294147,63.91445723,63.02151076,64.3931966,66.74537269
25,42,0,88,81,78,87,89,50,67,81,81,83,79,78,79,80,64,91,84,69,91,87,82,90,87,87,88,90,85,44,42,58,49,44,64,87,59,63,0,4,4,0,0,0,0,21,0,0,0,0,0,65.88294147,63.91445723,63.02151076,64.3931966,66.74537269
26,43,0,88,87,86,73,89,44,87,38,52,10,10,55,10,10,12,59,13,12,39,33,13,24,37,29,86,34,66,14,13,15,15,15,71,30,81,24,0,3,1,0,0,0,0,26,0,0,0,0,0,87,86,73,87,89
27,44,0,87,82,39,70,74,87,83,77,86,43,35,60,23,34,47,62,58,35,84,78,55,74,53,46,86,82,85,86,79,88,89,86,89,72,87,83,0,3,2,0,0,0,0,23,0,0,0,0,0,65.88294147,63.91445723,63.02151076,64.3931966,66.74537269
28,45,0,87,89,84,65,81,42,82,85,92,92,88,86,74,83,75,70,62,52,72,54,63,80,78,67,89,84,80,34,86,36,45,22,94,81,86,68,0,4,3,0,0,0,0,25,0,0,0,0,0,65.88294147,63.91445723,63.02151076,64.3931966,66.74537269
29,46,0,87,84,81,78,90,63,64,86,83,86,84,80,79,73,59,84,67,59,84,79,75,94,93,93,87,84,83,65,49,64,63,66,69,78,59,59,0,4,5,0,0,0,0,21,0,0,0,0,0,65.88294147,63.91445723,63.02151076,64.3931966,66.74537269
30,47,0,87,85,83,81,88,60,70,88,83,82,84,79,83,79,87,86,85,69,83,70,84,89,85,88,85,88,82,62,49,60,62,60,71,86,63,68,0,4,3,0,0,0,0,23,0,0,0,0,0,65.88294147,63.91445723,63.02151076,64.3931966,66.74537269
31,49,0,87,80,85,84,89,41,65,84,76,83,84,84,86,92,88,88,83,87,84,79,89,89,88,90,84,91,87,42,65,32,42,39,77,74,67,48,0,3,5,0,0,0,0,30,0,0,0,0,0,65.88294147,63.91445723,63.02151076,64.3931966,66.74537269
32,50,0,87,95,76,78,84,81,89,95,95,80,71,86,76,80,75,75,84,75,81,70,80,84,83,81,85,85,80,80,77,78,86,80,95,92,88,86,0,3,4,0,0,0,0,26,0,0,0,0,0,65.88294147,63.91445723,63.02151076,64.3931966,66.74537269
33,52,0,87,85,79,84,92,37,60,86,84,81,80,77,75,84,85,85,81,87,85,80,86,94,90,83,78,93,92,37,63,35,32,29,72,73,52,63,0,5,5,0,0,0,0,32,0,0,0,0,0,65.88294147,63.91445723,63.02151076,64.3931966,66.74537269
34,53,0,87,73,72,82,79,84,85,71,75,71,64,84,82,50,71,79,79,65,85,86,81,82,55,65,85,84,86,86,72,85,86,85,82,92,81,85,0,3,3,0,0,0,0,25,0,0,0,0,0,65.88294147,63.91445723,63.02151076,64.3931966,66.74537269
35,55,0,87,82,69,86,87,77,78,80,83,77,72,68,66,70,53,88,78,64,91,89,84,87,87,79,88,89,90,82,72,76,76,77,82,89,74,74,0,3,4,0,0,0,0,27,0,0,0,0,0,65.88294147,63.91445723,63.02151076,64.3931966,66.74537269
36,56,0,87,84,83,85,88,64,84,65,62,15,15,64,20,16,15,65,18,16,64,61,38,30,60,56,85,40,68,25,17,23,16,19,82,39,83,35,0,4,1,0,0,0,0,29,0,0,0,0,0,84,83,85,84,88
37,57,0,87,70,85,88,83,65,75,72,68,87,84,86,85,87,90,94,82,82,89,90,85,83,78,76,90,86,79,63,63,62,71,66,70,95,61,84,0,3,4,0,0,0,0,30,0,0,0,0,0,65.88294147,63.91445723,63.02151076,64.3931966,66.74537269
38,60,0,87,87,89,81,85,42,73,86,88,91,90,89,89,83,75,82,84,74,83,72,87,87,81,74,90,85,88,39,72,45,34,33,82,88,69,62,0,5,4,0,0,0,0,32,0,0,0,0,0,65.88294147,63.91445723,63.02151076,64.3931966,66.74537269
39,61,0,87,79,56,75,74,89,81,76,81,70,59,65,45,35,52,76,68,32,84,85,58,69,68,67,86,79,86,89,88,90,89,88,89,83,79,81,0,3,3,0,0,0,0,30,0,0,0,0,0,65.88294147,63.91445723,63.02151076,64.3931966,66.74537269
40,62,0,87,75,43,75,76,87,83,72,78,39,34,59,48,44,50,72,72,41,80,84,64,74,64,61,87,83,85,88,86,87,87,85,89,81,83,83,0,3,2,0,0,0,0,25,0,0,0,0,0,65.88294147,63.91445723,63.02151076,64.3931966,66.74537269
41,63,0,87,62,83,85,87,74,73,65,60,86,85,81,84,75,80,86,77,80,89,85,86,88,77,77,86,91,87,78,50,77,78,67,67,75,73,70,0,4,4,0,0,0,0,33,0,0,0,0,0,65.88294147,63.91445723,63.02151076,64.3931966,66.74537269
42,65,0,87,84,82,83,86,56,87,55,57,12,16,62,16,13,43,67,22,20,61,59,22,23,54,49,84,43,69,21,26,25,20,20,79,40,78,37,0,4,1,0,0,0,0,32,0,0,0,0,0,84,82,83,87,86
43,66,0,87,81,78,83,86,80,82,85,78,83,76,80,79,80,73,84,79,67,88,85,79,82,91,92,90,88,86,84,60,80,83,81,79,93,74,87,0,4,3,0,0,0,0,27,0,0,0,0,0,65.88294147,63.91445723,63.02151076,64.3931966,66.74537269
44,67,0,87,83,84,85,89,50,86,48,54,15,13,64,12,8,24,64,13,13,40,36,12,15,55,58,84,25,54,21,10,9,19,12,68,45,68,38,0,4,1,0,0,0,0,35,0,0,0,0,0,83,84,85,86,89
45,68,0,86,77,88,77,80,34,77,73,80,90,87,92,85,83,90,78,78,76,79,70,79,77,76,61,87,86,92,29,87,24,32,24,94,80,79,62,0,4,5,0,0,0,0,39,0,0,0,0,0,65.88294147,63.91445723,63.02151076,64.3931966,66.74537269
46,69,0,86,69,41,63,61,86,82,61,76,44,37,62,30,28,40,59,38,27,80,76,47,54,51,37,85,71,74,86,87,87,86,86,86,71,86,87,0,2,2,0,0,0,0,26,0,0,0,0,0,65.88294147,63.91445723,63.02151076,64.3931966,66.74537269
47,70,0,86,50,75,85,74,79,82,48,52,76,67,90,84,55,65,84,77,78,89,90,80,73,51,61,86,83,81,79,68,82,79,78,70,83,78,93,0,3,3,0,0,0,0,31,0,0,0,0,0,65.88294147,63.91445723,63.02151076,64.3931966,66.74537269
48,72,0,86,89,81,79,88,31,64,90,88,84,86,76,77,67,82,83,79,73,80,73,80,89,87,84,84,87,85,21,67,24,34,30,77,81,59,54,0,4,4,0,0,0,0,23,0,0,0,0,0,65.88294147,63.91445723,63.02151076,64.3931966,66.74537269
49,73,0,86,81,73,85,85,80,72,86,77,81,69,80,79,62,52,85,87,69,87,79,87,85,79,78,84,87,85,81,72,79,83,79,80,88,62,76,0,4,4,0,0,0,0,30,0,0,0,0,0,65.88294147,63.91445723,63.02151076,64.3931966,66.74537269
50,74,0,86,94,79,80,87,28,77,94,94,76,83,80,75,74,63,84,84,60,83,70,79,88,85,84,84,87,83,24,72,22,24,21,90,75,83,60,0,4,5,0,0,0,0,25,0,0,0,0,0,65.88294147,63.91445723,63.02151076,64.3931966,66.74537269
51,76,0,86,74,73,88,85,76,71,77,71,79,67,84,83,63,54,85,93,89,87,85,89,85,84,86,86,86,83,79,62,76,78,74,73,90,63,69,0,2,4,0,0,0,0,28,0,0,0,0,0,65.88294147,63.91445723,63.02151076,64.3931966,66.74537269
52,77,0,86,72,76,88,87,71,64,75,69,76,72,79,82,76,83,90,86,78,90,90,85,84,92,92,85,90,91,79,55,70,73,72,67,76,58,62,0,4,4,0,0,0,0,39,0,0,0,0,0,65.88294147,63.91445723,63.02151076,64.3931966,66.74537269
53,79,0,86,69,82,85,84,76,76,71,67,80,79,88,82,77,86,86,79,82,87,86,83,84,82,83,85,86,84,78,61,77,79,73,72,87,69,83,0,3,3,0,0,0,0,25,0,0,0,0,0,65.88294147,63.91445723,63.02151076,64.3931966,66.74537269
54,81,0,86,81,58,79,81,81,79,82,81,75,56,68,52,53,45,78,85,47,84,74,77,78,78,84,85,85,83,81,76,80,84,83,85,84,74,85,0,3,3,0,0,0,0,32,0,0,0,0,0,65.88294147,63.91445723,63.02151076,64.3931966,66.74537269
55,83,0,86,92,75,82,88,41,57,94,91,80,72,83,74,76,75,85,86,64,83,78,84,89,94,81,82,87,82,38,43,42,42,34,65,69,52,54,0,5,5,0,0,0,0,27,0,0,0,0,0,65.88294147,63.91445723,63.02151076,64.3931966,66.74537269
56,86,0,86,75,72,90,80,80,74,72,78,79,64,85,76,68,66,89,93,85,89,92,88,79,73,72,85,85,82,84,69,78,82,78,75,89,68,69,0,4,3,0,0,0,0,25,0,0,0,0,0,65.88294147,63.91445723,63.02151076,64.3931966,66.74537269
57,87,0,86,77,69,82,88,70,74,79,76,79,72,68,68,56,53,88,68,62,88,86,79,87,88,90,87,88,87,73,50,68,77,65,73,87,73,62,0,4,4,0,0,0,0,21,0,0,0,0,0,65.88294147,63.91445723,63.02151076,64.3931966,66.74537269
58,89,0,86,71,38,60,62,86,84,53,86,36,32,60,26,53,38,56,39,27,78,68,37,60,49,40,84,67,79,83,87,87,87,81,86,69,92,83,0,3,2,0,0,0,0,28,0,0,0,0,0,65.88294147,63.91445723,63.02151076,64.3931966,66.74537269
59,90,0,86,77,85,81,84,38,77,76,77,88,87,87,81,87,68,86,75,73,86,76,82,84,77,72,84,87,84,39,87,43,24,18,84,80,81,63,0,4,4,0,0,0,0,36,0,0,0,0,0,65.88294147,63.91445723,63.02151076,64.3931966,66.74537269
60,91,0,86,82,50,58,66,86,85,78,86,58,49,68,39,38,43,45,46,24,75,69,42,62,65,67,79,68,78,84,87,87,87,84,94,75,89,84,0,2,2,0,0,0,0,27,0,0,0,0,0,65.88294147,63.91445723,63.02151076,64.3931966,66.74537269
61,92,0,86,69,74,88,84,81,77,77,62,78,68,78,83,69,69,85,91,79,88,91,85,82,83,84,88,85,86,85,72,81,82,83,79,88,68,86,0,4,3,0,0,0,0,29,0,0,0,0,0,65.88294147,63.91445723,63.02151076,64.3931966,66.74537269
62,94,0,86,85,81,78,86,49,85,48,50,14,14,59,13,17,24,48,16,14,38,34,20,12,37,47,82,16,46,26,18,11,18,12,74,44,76,29,0,3,1,0,0,0,0,27,0,0,0,0,0,85,81,78,85,86
63,97,0,86,83,81,90,83,49,88,48,50,12,13,68,16,11,49,70,15,11,60,68,14,30,51,35,84,44,70,30,25,17,10,11,77,43,80,29,0,4,1,0,0,0,0,38,0,0,0,0,0,83,81,90,88,83
64,100,0,86,71,80,87,85,79,76,74,68,74,75,86,87,74,90,89,78,85,89,89,88,84,83,80,86,88,85,82,65,80,81,78,76,81,72,80,0,5,4,0,0,0,0,30,0,0,0,0,0,65.88294147,63.91445723,63.02151076,64.3931966,66.74537269
65,101,0,85,79,71,83,80,85,77,78,79,73,62,82,78,67,79,78,83,85,88,80,76,77,76,78,88,83,84,87,77,89,84,83,86,73,78,77,0,4,3,0,0,0,0,32,0,0,0,0,0,65.88294147,63.91445723,63.02151076,64.3931966,66.74537269
66,101,0,85,82,53,64,62,85,84,76,86,56,56,68,35,38,43,59,58,45,75,66,47,55,56,55,84,68,76,85,85,84,85,85,92,72,87,87,0,3,2,0,0,0,0,25,0,0,0,0,0,65.88294147,63.91445723,63.02151076,64.3931966,66.74537269
67,101,0,85,71,79,85,86,50,70,69,72,82,80,82,80,79,55,87,82,76,87,83,80,86,83,83,86,87,84,56,54,49,45,56,69,85,72,45,0,4,4,0,0,0,0,28,0,0,0,0,0,65.88294147,63.91445723,63.02151076,64.3931966,66.74537269
68,101,0,85,85,50,69,71,85,82,81,88,64,48,62,42,34,60,59,69,40,78,76,60,70,70,62,84,72,76,85,86,85,86,85,91,85,79,83,0,3,2,0,0,0,0,26,0,0,0,0,0,65.88294147,63.91445723,63.02151076,64.3931966,66.74537269
69,101,0,85,68,75,83,84,79,83,69,68,78,72,79,82,66,65,85,76,62,87,87,81,85,78,84,84,85,87,80,66,78,82,79,77,88,79,87,0,2,3,0,0,0,0,26,0,0,0,0,0,65.88294147,63.91445723,63.02151076,64.3931966,66.74537269
70,101,0,85,85,84,73,86,39,74,83,87,86,87,82,78,79,83,80,68,65,78,60,75,88,80,69,85,87,86,38,78,35,34,29,88,78,77,58,0,5,4,0,0,0,0,24,0,0,0,0,0,65.88294147,63.91445723,63.02151076,64.3931966,66.74537269
71,101,0,85,76,65,73,80,85,78,79,74,72,64,71,65,56,54,77,68,49,80,74,49,78,78,93,87,81,82,88,54,88,90,86,73,82,72,87,0,3,2,0,0,0,0,33,0,0,0,0,0,65.88294147,63.91445723,63.02151076,64.3931966,66.74537269
72,101,0,85,84,45,70,75,86,80,85,83,47,47,48,40,32,43,62,68,26,82,75,55,72,71,74,86,77,82,86,80,87,86,84,90,78,80,78,0,3,3,0,0,0,0,25,0,0,0,0,0,65.88294147,63.91445723,63.02151076,64.3931966,66.74537269
73,101,0,85,86,79,80,86,41,71,85,86,84,80,78,83,64,65,83,78,65,83,76,83,88,86,75,84,87,79,40,62,38,39,34,78,77,70,62,0,5,5,0,0,0,0,23,0,0,0,0,0,65.88294147,63.91445723,63.02151076,64.3931966,66.74537269
74,101,0,85,72,77,84,87,73,68,75,69,77,77,76,83,62,73,85,78,68,88,85,81,87,91,88,85,87,88,80,52,74,77,68,66,81,59,77,0,3,3,0,0,0,0,24,0,0,0,0,0,65.88294147,63.91445723,63.02151076,64.3931966,66.74537269
75,101,0,85,71,81,86,86,54,63,77,66,85,80,83,83,77,74,88,83,86,86,85,86,86,84,83,80,88,88,44,35,59,65,42,57,78,53,70,0,4,4,0,0,0,0,27,0,0,0,0,0,65.88294147,63.91445723,63.02151076,64.3931966,66.74537269
76,101,0,85,79,81,81,88,39,62,83,76,83,81,82,82,76,73,83,81,80,83,75,85,88,91,90,82,90,81,39,56,45,34,22,71,79,58,48,0,4,5,0,0,0,0,33,0,0,0,0,0,65.88294147,63.91445723,63.02151076,64.3931966,66.74537269
77,101,0,85,86,83,72,85,48,85,48,48,8,9,54,7,7,11,34,13,10,20,20,11,11,40,26,74,22,26,8,14,5,12,10,71,45,74,25,0,3,1,0,0,0,0,23,0,0,0,0,0,86,83,72,85,85
78,101,0,85,72,79,82,82,83,82,72,72,83,79,85,79,58,70,83,77,69,86,84,80,83,74,73,86,85,80,85,87,80,84,76,88,83,80,83,0,3,3,0,0,0,0,28,0,0,0,0,0,65.88294147,63.91445723,63.02151076,64.3931966,66.74537269
79,101,0,85,64,80,81,82,78,88,62,66,81,82,83,81,74,59,81,71,78,86,86,81,85,62,63,83,87,84,78,86,77,77,79,88,92,90,79,0,5,4,0,0,0,0,29,0,0,0,0,0,65.88294147,63.91445723,63.02151076,64.3931966,66.74537269
80,101,0,85,93,84,69,81,31,79,94,92,86,87,85,77,78,75,69,69,53,75,59,66,79,82,85,84,83,81,26,79,29,23,19,93,79,80,74,0,4,3,0,0,0,0,24,0,0,0,0,0,65.88294147,63.91445723,63.02151076,64.3931966,66.74537269
81,101,0,85,52,68,72,74,85,90,54,50,69,66,81,67,55,57,72,60,45,79,80,66,77,51,50,79,80,84,86,81,83,88,87,84,87,90,95,0,4,2,0,0,0,0,29,0,0,0,0,0,65.88294147,63.91445723,63.02151076,64.3931966,66.74537269
82,101,0,85,75,82,83,86,50,66,73,77,86,84,81,80,67,89,86,78,74,86,82,85,88,78,75,84,87,87,52,62,45,53,40,71,78,61,60,0,3,4,0,0,0,0,22,0,0,0,0,0,65.88294147,63.91445723,63.02151076,64.3931966,66.74537269
83,101,0,85,78,61,82,79,81,78,79,78,78,55,76,65,32,55,82,87,71,83,76,82,78,75,74,85,82,83,81,67,82,83,81,76,93,67,85,0,2,3,0,0,0,0,30,0,0,0,0,0,65.88294147,63.91445723,63.02151076,64.3931966,66.74537269
84,101,0,85,90,83,80,86,37,70,89,91,82,83,87,81,84,65,81,81,80,82,72,83,87,87,82,83,85,83,34,64,36,32,35,72,78,67,65,0,2,4,0,0,0,0,28,0,0,0,0,0,65.88294147,63.91445723,63.02151076,64.3931966,66.74537269
85,101,0,85,77,59,70,73,85,82,78,76,58,51,75,66,56,38,72,53,41,78,85,52,74,68,64,83,71,78,83,85,85,87,86,91,74,84,83,0,2,2,0,0,0,0,24,0,0,0,0,0,65.88294147,63.91445723,63.02151076,64.3931966,66.74537269
86,101,0,85,69,58,75,79,85,77,68,69,58,54,68,61,44,52,78,63,37,85,79,62,79,68,67,87,83,88,84,84,86,86,84,84,74,77,80,0,4,3,0,0,0,0,30,0,0,0,0,0,65.88294147,63.91445723,63.02151076,64.3931966,66.74537269
87,101,0,85,73,69,79,78,82,82,74,72,74,65,78,75,50,55,82,68,53,85,84,76,78,72,70,83,81,83,84,75,83,83,80,84,83,82,80,0,3,3,0,0,0,0,24,0,0,0,0,0,65.88294147,63.91445723,63.02151076,64.3931966,66.74537269
88,101,0,85,82,82,75,84,57,79,85,80,88,85,86,76,79,69,78,73,58,77,72,77,83,86,87,88,85,83,56,86,53,57,45,91,80,75,85,0,5,4,0,0,0,0,27,0,0,0,0,0,65.88294147,63.91445723,63.02151076,64.3931966,66.74537269
89,101,0,85,84,74,81,81,82,82,81,86,75,69,82,83,68,64,79,78,81,85,83,75,78,81,83,83,85,84,84,70,83,84,81,84,80,82,84,0,4,3,0,0,0,0,24,0,0,0,0,0,65.88294147,63.91445723,63.02151076,64.3931966,66.74537269
90,101,0,85,85,83,73,80,50,83,79,89,87,86,84,76,80,74,77,67,63,79,64,74,81,79,76,85,79,81,55,84,45,46,36,91,88,82,76,0,4,3,0,0,0,0,28,0,0,0,0,0,65.88294147,63.91445723,63.02151076,64.3931966,66.74537269
91,101,0,85,93,75,78,86,36,65,94,93,78,77,78,72,64,62,80,83,72,82,64,78,88,92,84,80,85,78,40,65,36,28,25,78,81,60,55,0,5,4,0,0,0,0,22,0,0,0,0,0,65.88294147,63.91445723,63.02151076,64.3931966,66.74537269
92,149,0,84,60,50,64,65,86,80,61,59,20,37,75,60,39,61,65,34,56,76,79,58,65,38,33,83,72,86,84,84,87,89,83,86,68,85,80,0,3,3,0,0,0,0,36,0,0,0,0,0,65.88294147,63.91445723,63.02151076,64.3931966,66.74537269
93,149,0,84,78,48,71,75,85,82,76,80,37,38,75,48,42,40,65,55,59,83,80,54,76,66,54,86,78,83,84,79,86,86,84,90,71,86,82,0,4,2,0,0,0,0,29,0,0,0,0,0,65.88294147,63.91445723,63.02151076,64.3931966,66.74537269
94,149,0,84,76,53,72,75,84,77,77,75,51,48,64,56,52,53,68,63,59,81,75,64,73,67,68,84,79,79,83,82,84,85,84,88,71,78,80,0,3,2,0,0,0,0,29,0,0,0,0,0,65.88294147,63.91445723,63.02151076,64.3931966,66.74537269
95,149,0,84,85,84,80,85,57,78,86,85,84,84,88,81,79,78,81,77,80,80,77,87,83,87,87,86,86,84,52,72,60,55,46,83,85,70,86,0,4,4,0,0,0,0,24,0,0,0,0,0,65.88294147,63.91445723,63.02151076,64.3931966,66.74537269
96,149,0,84,81,86,79,86,35,65,78,83,88,90,82,81,82,82,81,80,83,79,73,79,87,84,72,86,87,85,39,77,39,21,18,80,69,61,65,0,4,3,0,0,0,0,37,0,0,0,0,0,65.88294147,63.91445723,63.02151076,64.3931966,66.74537269
97,149,0,84,81,82,77,86,38,83,38,37,10,14,58,19,13,24,62,15,19,39,44,12,20,47,29,80,12,57,12,14,20,18,15,66,43,69,25,0,2,1,0,0,0,0,33,0,0,0,0,0,81,82,77,83,86
98,149,0,84,93,83,76,86,52,75,92,93,84,84,86,83,84,62,77,75,62,78,76,78,87,90,84,84,83,82,54,53,51,51,48,76,84,70,74,0,4,4,0,0,0,0,26,0,0,0,0,0,65.88294147,63.91445723,63.02151076,64.3931966,66.74537269
99,149,0,84,89,75,79,87,30,62,92,87,81,74,82,72,78,65,80,80,70,80,73,83,88,91,84,84,87,78,23,61,29,27,21,79,68,66,38,0,3,5,0,0,0,0,28,0,0,0,0,0,65.88294147,63.91445723,63.02151076,64.3931966,66.74537269
100,149,0,84,57,75,86,77,77,77,59,55,62,66,86,83,82,77,87,83,81,88,88,85,74,64,73,82,83,88,81,53,79,79,79,66,80,74,82,0,4,3,0,0,0,0,27,0,0,0,0,0,65.88294147,63.91445723,63.02151076,64.3931966,66.74537269
101,149,0,84,62,61,63,67,85,83,54,68,44,50,84,75,45,40,45,52,55,77,76,48,65,52,62,84,72,82,82,85,85,85,86,86,64,91,85,0,3,2,0,0,0,0,25,0,0,0,0,0,65.88294147,63.91445723,63.02151076,64.3931966,66.74537269
