Clndrs,Volume,Model,origin,Lbs-,Acc+,Mpg+
8,254,74,2,2585,10.0,20
6,104,71,1,3226,13.5,10
4,93,70,3,1695,23.1,20
3,323,81,3,4937,20.3,40
6,409,74,1,4111,19.8,10
4,274,73,2,3442,14.4,20
4,190,74,2,3840,17.9,20
8,436,74,2,3632,18.1,20
3,93,70,1,3567,13.4,40
6,170,76,1,4976,20.9,20
3,77,76,1,4323,17.2,40
6,136,71,2,4271,22.3,10
3,344,70,3,2128,8.7,30
3,291,71,1,1713,16.5,20
6,421,73,3,3433,14.6,30
6,398,80,1,2605,9.0,20
6,289,79,3,3894,18.9,10
6,350,76,3,2416,20.1,40
3,435,74,3,4101,20.3,10
6,160,71,1,1840,23.6,40
3,97,80,1,4930,16.7,30
3,230,70,1,3776,8.6,20
8,432,77,1,4617,16.9,10
6,236,71,2,1740,22.6,10
6,230,81,1,2666,21.5,10
6,118,76,1,3659,17.5,30
6,330,82,2,3992,16.2,20
8,338,78,3,3981,19.9,10
6,450,72,1,3116,14.6,30
3,279,75,1,3954,9.1,30
6,283,74,2,3044,12.6,10
3,146,75,3,2933,21.3,10
8,213,77,2,3091,23.8,40
3,366,82,1,2151,8.8,40
6,195,81,3,4658,13.8,30
8,227,77,3,2994,17.0,20
3,145,74,3,2505,17.6,10
4,280,81,3,1805,21.8,30
3,174,74,1,4189,17.7,10
3,181,80,1,3695,22.7,10
6,319,81,2,2500,23.2,40
4,287,77,3,3103,17.3,20
8,441,71,2,3268,11.4,40
8,109,76,3,3689,21.5,40
3,250,77,1,2377,24.3,10
3,224,78,3,2892,24.5,30
8,347,78,2,4068,18.7,30
8,224,72,3,3419,18.0,20
6,395,70,2,4615,19.2,10
6,285,76,2,4299,23.2,10
3,116,70,2,2701,15.9,30
8,242,76,2,4891,10.0,30
4,282,72,1,2304,21.8,30
4,371,82,2,3291,12.4,30
8,423,74,2,2975,21.2,40
4,436,77,2,4533,15.2,10
4,175,72,1,4590,8.4,30
4,315,82,1,3234,19.0,20
3,115,76,3,1808,17.3,40
6,94,80,1,4608,17.4,40
3,205,80,2,2333,16.2,10
4,416,80,1,3196,10.1,40
6,419,78,2,3210,10.0,40
3,146,76,3,4476,11.4,30
8,450,78,2,3617,18.8,20
6,318,71,1,4703,24.8,30
6,98,78,3,3403,13.1,10
4,330,74,2,4492,12.2,20
4,201,73,2,3897,18.7,10
4,281,74,2,3566,19.8,30
8,179,77,2,4053,16.0,30
4,380,82,1,4627,23.0,40
4,99,78,2,3764,19.7,20
6,388,77,2,2951,10.0,20
6,185,71,3,3807,22.1,10
4,420,71,1,3907,11.4,30
8,237,70,1,4965,13.2,20
3,450,73,2,4388,18.6,30
6,377,81,3,3153,8.4,30
6,141,71,2,4753,10.4,10
6,109,71,3,2022,13.1,20
6,341,70,2,1727,9.3,40
6,438,80,3,2591,9.6,30
6,74,78,2,2059,14.0,20
6,277,71,3,3961,18.6,40
8,344,76,2,2498,18.8,20
3,377,78,1,2317,12.1,40
6,349,70,2,3807,12.6,30
8,134,76,3,2024,20.7,10
6,348,78,3,3678,19.6,10
6,298,80,1,2238,9.3,20
